Player,Pos,Team,Season
George Gervin,SG,SAS,1982
Moses Malone,C,HOU,1982
Adrian Dantley,SF,UTA,1982
Alex English,SF,DEN,1982
Julius Erving,SF,PHI,1982
Gus Williams,PG,SEA,1982
Dan Issel,C,DEN,1982
Bernard King,SF,GSW,1982
Kareem Abdul-Jabbar,C,LAL,1982
World B. Free,SG,GSW,1982
Kelly Tripucka,SF,DET,1982
Larry Bird,PF,BOS,1982
Kiki Vandeweghe,PF,DEN,1982
Jamaal Wilkes,SF,LAL,1982
Jay Vincent,PF,DAL,1982
Mike Mitchell,SF,2TM,1982
Mike Mitchell,SF,CLE,1982
Mike Mitchell,SF,SAS,1982
Ray Williams,SG,NJN,1982
Mychal Thompson,C,POR,1982
Jack Sikma,C,SEA,1982
Robert Parish,C,BOS,1982
Darrell Griffith,SG,UTA,1982
Sidney Moncrief,SG,MIL,1982
Dennis Johnson,SG,PHO,1982
Jim Paxson,SG,POR,1982
Artis Gilmore,C,CHI,1982
John Long,SG,DET,1982
Reggie Theus,SG,CHI,1982
Greg Ballard,SF,WSB,1982
Michael Ray Richardson,PG,NYK,1982
Magic Johnson,SG,LAL,1982
Norm Nixon,PG,LAL,1982
Truck Robinson,PF,PHO,1982
Johnny Davis,SG,IND,1982
Tom Chambers,PF,SDC,1982
Ron Brewer,SG,2TM,1982
Ron Brewer,SG,SAS,1982
Ron Brewer,SG,CLE,1982
Calvin Natt,SF,POR,1982
Elvin Hayes,PF,HOU,1982
Mike Woodson,SG,2TM,1982
Mike Woodson,SG,NJN,1982
Mike Woodson,SG,KCK,1982
John Drew,SF,ATL,1982
Joe Barry Carroll,C,GSW,1982
James Edwards,C,CLE,1982
Michael Brooks,SF,SDC,1982
Andrew Toney,SG,PHI,1982
Buck Williams,PF,NJN,1982
Maurice Lucas,PF,NYK,1982
Cliff Robinson,PF,2TM,1982
Cliff Robinson,PF,KCK,1982
Cliff Robinson,PF,CLE,1982
Kelvin Ransey,PG,POR,1982
Isiah Thomas,PG,DET,1982
Eddie Johnson,SG,ATL,1982
Lonnie Shelton,PF,SEA,1982
Rickey Green,PG,UTA,1982
Dave Greenwood,PF,CHI,1982
Alvan Adams,C,PHO,1982
Jeff Ruland,C,WSB,1982
Kyle Macy,PG,PHO,1982
Cedric Maxwell,SF,BOS,1982
Dan Roundfield,PF,ATL,1982
Kevin McHale,PF,BOS,1982
Bobby Jones,PF,PHI,1982
Purvis Short,SF,GSW,1982
Rolando Blackman,SG,DAL,1982
Campy Russell,SF,NYK,1982
Bill Cartwright,C,NYK,1982
Robert Reid,SF,HOU,1982
Ernie Grunfeld,SG,KCK,1982
Spencer Haywood,PF,WSB,1982
Steve Johnson,C,KCK,1982
Billy Knight,SF,IND,1982
Bob Lanier,C,MIL,1982
Jerome Whitehead,C,SDC,1982
Brad Davis,PG,DAL,1982
Marques Johnson,SF,MIL,1982
Mickey Johnson,PF,MIL,1982
Rick Mahorn,PF,WSB,1982
Reggie King,SF,KCK,1982
Brian Winters,SG,MIL,1982
Mark Aguirre,SF,DAL,1982
Kevin Grevey,SG,WSB,1982
Herb Williams,C,IND,1982
Mark Olberding,PF,SAS,1982
Kent Benson,C,DET,1982
Ricky Sobers,SG,CHI,1982
Fred Brown,SG,SEA,1982
Albert King,SF,NJN,1982
Louis Orr,SF,IND,1982
Mike O'Koren,SF,NJN,1982
Michael Cooper,SG,LAL,1982
Quinn Buckner,PG,MIL,1982
David Thompson,SG,DEN,1982
Darwin Cook,PG,NJN,1982
Kenny Carr,PF,2TM,1982
Kenny Carr,PF,CLE,1982
Kenny Carr,PF,DET,1982
Lionel Hollins,PG,PHI,1982
Joe Bryant,SF,SDC,1982
Maurice Cheeks,PG,PHI,1982
Billy McKinney,PG,DEN,1982
Larry Drew,PG,KCK,1982
Ronnie Lester,PG,CHI,1982
Allen Leavell,PG,HOU,1982
Tiny Archibald,PG,BOS,1982
Rory Sparrow,PG,ATL,1982
Phil Smith,SG,2TM,1982
Phil Smith,SG,SDC,1982
Phil Smith,SG,SEA,1982
Phil Hubbard,SF,2TM,1982
Phil Hubbard,SF,DET,1982
Phil Hubbard,SF,CLE,1982
Frank Johnson,PG,WSB,1982
Mike Bantom,SF,2TM,1982
Mike Bantom,SF,IND,1982
Mike Bantom,SF,PHI,1982
Gerald Henderson,PG,BOS,1982
Billy Ray Bates,SG,POR,1982
Dave Corzine,C,SAS,1982
Sly Williams,SF,NYK,1982
Jim Spanarkel,SG,DAL,1982
Randy Smith,SG,NYK,1982
Reggie Johnson,PF,3TM,1982
Reggie Johnson,PF,SAS,1982
Reggie Johnson,PF,CLE,1982
Reggie Johnson,PF,KCK,1982
Terry Tyler,PF,DET,1982
Geoff Huston,PG,CLE,1982
Don Buse,PG,IND,1982
Walter Davis,SF,PHO,1982
Don Collins,SG,WSB,1982
