Player,Pos,Team,Season
Tom Owens,PF,IND,1982
Dwight Jones,PF,CHI,1982
Gene Banks,SF,SAS,1982
Jeff Wilkins,C,UTA,1982
James Silas,SG,CLE,1982
Clemon Johnson,C,IND,1982
Johnny Moore,PG,SAS,1982
Len Elmore,C,NJN,1982
Tom McMillen,C,ATL,1982
Freeman Williams,SG,2TM,1982
Freeman Williams,SG,SDC,1982
Freeman Williams,SG,ATL,1982
Bill Laimbeer,C,2TM,1982
Bill Laimbeer,C,CLE,1982
Bill Laimbeer,C,DET,1982
Bob Wilkerson,SF,CLE,1982
Phil Ford,PG,KCK,1982
Mike Newlin,SG,NYK,1982
Wally Walker,SF,SEA,1982
Eddie Johnson,SF,KCK,1982
Wayne Cooper,C,DAL,1982
T.R. Dunn,SG,DEN,1982
John Lucas,PG,WSB,1982
James Donaldson,C,SEA,1982
Elston Turner,SF,DAL,1982
Glen Gondrezick,SF,DEN,1982
James Bailey,PF,2TM,1982
James Bailey,PF,SEA,1982
James Bailey,PF,NJN,1982
Calvin Murphy,PG,HOU,1982
Danny Schayes,C,UTA,1982
Caldwell Jones,C,PHI,1982
Rich Kelley,C,PHO,1982
Mike Bratz,PG,SAS,1982
Charlie Criss,PG,2TM,1982
Charlie Criss,PG,ATL,1982
Charlie Criss,PG,SDC,1982
Scott Wedman,SF,CLE,1982
Carl Nicks,SG,UTA,1982
Scott May,SF,MIL,1982
Allan Bristow,SF,DAL,1982
Kenny Higgs,PG,DEN,1982
Roger Phegley,SG,2TM,1982
Roger Phegley,SG,CLE,1982
Roger Phegley,SG,SAS,1982
Rudy Macklin,SF,ATL,1982
Orlando Woolridge,SF,CHI,1982
Vinnie Johnson,SG,2TM,1982
Vinnie Johnson,SG,SEA,1982
Vinnie Johnson,SG,DET,1982
Steve Mix,SF,PHI,1982
Ben Poquette,PF,UTA,1982
Bill Willoughby,SF,HOU,1982
Larry Nance,PF,PHO,1982
Darryl Dawkins,C,PHI,1982
Larry Smith,PF,GSW,1982
Cedrick Hordges,PF,DEN,1982
Darnell Valentine,PG,POR,1982
Otis Birdsong,SG,NJN,1982
Mike Dunleavy,SG,HOU,1982
Junior Bridgeman,SF,MIL,1982
Marvin Webster,C,NYK,1982
Pat Cummings,PF,MIL,1982
Michael Wiley,PF,SDC,1982
Kevin Loder,SF,KCK,1982
Lorenzo Romar,PG,GSW,1982
Alvin Scott,SF,PHO,1982
Tree Rollins,C,ATL,1982
Bill Hanzlik,SF,SEA,1982
Tom Henderson,SG,HOU,1982
Rickey Brown,C,GSW,1982
Mike Harper,PF,POR,1982
Steve Hawes,PF,ATL,1982
Foots Walker,PG,NJN,1982
M.L. Carr,SF,BOS,1982
Rick Robey,C,BOS,1982
Al Wood,SG,2TM,1982
Al Wood,SG,ATL,1982
Al Wood,SG,SDC,1982
John Douglas,SG,SDC,1982
Brian Taylor,PG,SDC,1982
Butch Carter,SG,IND,1982
Chris Ford,SG,BOS,1982
Larry Kenon,PF,CHI,1982
Bob Gross,SF,POR,1982
James Hardy,SF,UTA,1982
Mike Gale,PG,GSW,1982
Jim Brogan,SG,SDC,1982
Bob McAdoo,C,LAL,1982
Jeff Cook,PF,PHO,1982
Joe Hassett,SG,GSW,1982
Mike Glenn,SG,ATL,1982
Edgar Jones,PF,DET,1982
Danny Vranes,SF,SEA,1982
Mitch Kupchak,PF,LAL,1982
Alton Lister,C,MIL,1982
Sam Williams,PF,GSW,1982
George McGinnis,PF,IND,1982
Clint Richardson,SG,PHI,1982
Earl Cureton,PF,PHI,1982
Pete Verhoeven,PF,POR,1982
Kurt Nimphius,C,DAL,1982
Greg Kelser,SF,2TM,1982
Greg Kelser,SF,DET,1982
Greg Kelser,SF,SEA,1982
Mike Gminski,C,NJN,1982
Dudley Bradley,SG,PHO,1982
Wes Matthews,PG,ATL,1982
Bill Robinzine,PF,UTA,1982
Mark Landsberger,PF,LAL,1982
James Wilkes,SF,CHI,1982
Tom LaGarde,C,DAL,1982
Reggie Carter,SG,NYK,1982
George Johnson,PF,IND,1982
Kurt Rambis,PF,LAL,1982
Sam Pellom,PF,ATL,1982
Scott Lloyd,PF,DAL,1982
Sonny Parker,SF,GSW,1982
Ron Lee,PG,DET,1982
John Duren,PG,UTA,1982
Major Jones,PF,HOU,1982
Swen Nater,C,SDC,1982
Jeff Lamp,SF,POR,1982
Calvin Garrett,SF,HOU,1982
Harvey Catchings,PF,MIL,1982
Ray Blume,SG,CHI,1982
George Johnson,C,SAS,1982
Coby Dietrick,C,CHI,1982
Eddie Jordan,PG,LAL,1982
Toby Knight,SF,NYK,1982
Danny Ainge,SG,BOS,1982
Pétur Guðmundsson,C,POR,1982
Ray Tolbert,PF,2TM,1982
Ray Tolbert,PF,NJN,1982
Ray Tolbert,PF,SEA,1982
Paul Mokeski,C,2TM,1982
Paul Mokeski,C,DET,1982
Paul Mokeski,C,CLE,1982
Billy Paultz,C,HOU,1982
Jerry Sichting,PG,IND,1982
Jim Smith,PF,SDC,1982
Paul Westphal,SG,NYK,1982
John Lambert,PF,2TM,1982
John Lambert,PF,KCK,1982
John Lambert,PF,SAS,1982
Charles Davis,SF,WSB,1982
Tracy Jackson,SG,2TM,1982
Tracy Jackson,SG,BOS,1982
Tracy Jackson,SG,CHI,1982
Ed Rains,SF,SAS,1982
Mike McGee,SF,LAL,1982
John Roche,SG,DEN,1982
Jim Chones,C,WSB,1982
Leon Douglas,C,KCK,1982
Jim Brewer,PF,LAL,1982
Sam Lacey,C,2TM,1982
Sam Lacey,C,KCK,1982
Sam Lacey,C,NJN,1982
Charles Bradley,SG,BOS,1982
Bobby Cattage,PF,UTA,1982
Kenny Dennard,PF,KCK,1982
Franklin Edwards,PG,PHI,1982
Mark Radford,SG,SEA,1982
Armond Hill,PG,2TM,1982
Armond Hill,PG,SEA,1982
Armond Hill,PG,SDC,1982
Dave Robisch,C,DEN,1982
Jan van Breda Kolff,SF,NJN,1982
Howard Wood,SF,UTA,1982
Joel Kramer,PF,PHO,1982
Alan Hardy,SG,DET,1982
Steve Hayes,C,2TM,1982
Steve Hayes,C,SAS,1982
Steve Hayes,C,DET,1982
Alex Bradley,SF,NYK,1982
Jim McElroy,PG,ATL,1982
Garry Witts,SF,WSB,1982
Joe Meriweather,C,KCK,1982
James Ray,PF,DEN,1982
Robert Smith,PG,MIL,1982
Richard Washington,PF,CLE,1982
Kermit Washington,PF,POR,1982
Hank McDowell,PF,GSW,1982
Larry Demic,PF,NYK,1982
Paul Griffin,PF,SAS,1982
Keith Herron,SG,CLE,1982
Mike Evans,PG,2TM,1982
Mike Evans,PG,MIL,1982
Mike Evans,PG,CLE,1982
Clarence Kea,PF,DAL,1982
Jeff Judkins,SF,DET,1982
Kevin Restani,PF,2TM,1982
Kevin Restani,PF,SAS,1982
Kevin Restani,PF,CLE,1982
Mickey Dillard,PG,CLE,1982
Terry Duerod,SG,BOS,1982
Kevin McKenna,SG,LAL,1982
Ollie Johnson,SF,PHI,1982
John Johnson,SF,SEA,1982
Eric Fernsten,C,BOS,1982
Brad Holland,SG,2TM,1982
Brad Holland,SG,WSB,1982
Brad Holland,SG,MIL,1982
Lewis Lloyd,SG,GSW,1982
Hawkeye Whitney,SG,KCK,1982
Brad Branson,PF,CLE,1982
Bob Dandridge,SF,MIL,1982
Kevin Kunnert,C,POR,1982
Lowes Moore,PG,CLE,1982
Ollie Mack,SG,DAL,1982
Craig Dykema,SF,PHO,1982
Hollis Copeland,SF,NYK,1982
Raymond Townsend,SG,IND,1982
Jawann Oldham,C,HOU,1982
Rich Yonakor,PF,SAS,1982
Kevin Stacom,SG,MIL,1982
Geoff Crompton,C,MIL,1982
Clay Johnson,SG,LAL,1982
Ron Davis,SF,SDC,1982
Don Ford,SF,CLE,1982
David Burns,PG,2TM,1982
David Burns,PG,NJN,1982
David Burns,PG,DEN,1982
John McCullough,SG,PHO,1982
Dennis Awtrey,C,POR,1982
Larry Spriggs,SF,HOU,1982
Jackie Robinson,SF,CHI,1982
Carlos Terry,SG,WSB,1982
Glenn Hagan,PG,DET,1982
Mel Bennett,PF,CLE,1982
Roger Burkman,SG,CHI,1982
Craig Shelton,SF,ATL,1982
Sam Worthen,PG,UTA,1982
DeWayne Scales,PF,NYK,1982
Carl Bailey,C,POR,1982
Joe Cooper,C,NJN,1982
Rock Lee,C,SDC,1982
Larry Wright,PG,DET,1982
League Average,,,1982
