Player,Pos,Team,Season
Eric Piatkowski,SF,LAC,2000
Aaron McKie,SG,PHI,2000
Eric Snow,PG,PHI,2000
Monty Williams,SF,ORL,2000
Shawn Bradley,C,DAL,2000
Corey Maggette,SF,ORL,2000
Bimbo Coles,PG,ATL,2000
Chris Whitney,PG,WAS,2000
Terry Porter,PG,SAS,2000
Kurt Thomas,PF,NYK,2000
Richard Hamilton,SG,WAS,2000
Matt Geiger,C,PHI,2000
Voshon Lenard,SG,MIA,2000
Aaron Williams,PF,WAS,2000
Horace Grant,PF,SEA,2000
Bryant Reeves,C,VAN,2000
Kevin Willis,PF,TOR,2000
Brevin Knight,PG,CLE,2000
Marcus Camby,C,NYK,2000
Kenny Thomas,PF,HOU,2000
Mario Elie,SF,SAS,2000
Hubert Davis,PG,DAL,2000
Bonzi Wells,SF,POR,2000
Detlef Schrempf,SF,POR,2000
Jahidi White,C,WAS,2000
Kelvin Cato,C,HOU,2000
Michael Doleac,C,ORL,2000
Clarence Weatherspoon,PF,MIA,2000
Ron Harper,PG,LAL,2000
Terry Mills,PF,DET,2000
Charles Oakley,PF,TOR,2000
Troy Hudson,PG,LAC,2000
Andrew DeClercq,C,CLE,2000
Tony Battie,C,BOS,2000
Sam Perkins,PF,IND,2000
Rick Fox,SF,LAL,2000
Chris Carr,SF,2TM,2000
Chris Carr,SG,GSW,2000
Chris Carr,SF,CHI,2000
Charlie Ward,PG,NYK,2000
Shawn Marion,SF,PHO,2000
Scott Williams,C,MIL,2000
Dana Barros,PG,BOS,2000
John Starks,SG,2TM,2000
John Starks,SG,GSW,2000
John Starks,SG,CHI,2000
Greg Anthony,PG,POR,2000
Lucious Harris,SG,NJN,2000
Jaren Jackson,SG,SAS,2000
Vernon Maxwell,SG,SEA,2000
Dell Curry,SG,TOR,2000
Michael Curry,SG,DET,2000
Dan Majerle,SG,MIA,2000
Anthony Carter,PG,MIA,2000
Malik Rose,PF,SAS,2000
Jon Barry,SG,SAC,2000
Derek Fisher,PG,LAL,2000
Bo Outlaw,PF,ORL,2000
Eric Williams,SF,BOS,2000
LaPhonso Ellis,PF,ATL,2000
Baron Davis,PG,CHH,2000
Adrian Griffin,SG,BOS,2000
Lawrence Funderburke,PF,SAC,2000
Steve Nash,PG,DAL,2000
Hersey Hawkins,SG,CHI,2000
Rasho Nesterović,C,MIN,2000
Eddie Robinson,SF,CHH,2000
Tony Farmer,PF,GSW,2000
Danny Ferry,PF,CLE,2000
Jamie Feick,C,NJN,2000
Brian Grant,PF,POR,2000
Hakeem Olajuwon,C,HOU,2000
Luc Longley,C,PHO,2000
Scott Burrell,SF,NJN,2000
Lorenzen Wright,C,ATL,2000
Chris Anstey,C,CHI,2000
Robert Horry,PF,LAL,2000
Olden Polynice,C,UTA,2000
Sam Mitchell,SF,MIN,2000
Mark Bryant,PF,CLE,2000
Brad Miller,C,CHH,2000
Carlos Rogers,C,HOU,2000
Antonio Daniels,SG,SAS,2000
Bryce Drew,PG,HOU,2000
Adonal Foyle,C,GSW,2000
Danny Fortson,PF,BOS,2000
A.C. Green,PF,LAL,2000
Scot Pollard,C,SAC,2000
Muggsy Bogues,PG,TOR,2000
Darrick Martin,PG,SAC,2000
Isaac Austin,C,WAS,2000
Todd Day,SG,PHO,2000
John Wallace,SF,NYK,2000
Ben Wallace,PF,ORL,2000
Ervin Johnson,C,MIL,2000
Matt Bullard,PF,HOU,2000
Randy Livingston,PG,PHO,2000
Bobby Phills,SG,CHH,2000
Randy Brown,PG,CHI,2000
Chris Childs,PG,NYK,2000
Billy Owens,SF,2TM,2000
Billy Owens,PF,PHI,2000
Billy Owens,SF,GSW,2000
Corey Benjamin,SG,CHI,2000
Bobby Jackson,PG,MIN,2000
Dennis Scott,SF,VAN,2000
Greg Ostertag,C,UTA,2000
Samaki Walker,PF,SAS,2000
Vinny Del Negro,PG,MIL,2000
Rex Chapman,SG,PHO,2000
Chucky Brown,PF,2TM,2000
Chucky Brown,PF,SAS,2000
Chucky Brown,PF,CHH,2000
Armen Gilliam,PF,UTA,2000
Danny Manning,PF,MIL,2000
Al Harrington,PF,IND,2000
Cedric Henderson,SF,CLE,2000
Gerard King,SF,WAS,2000
Matt Maloney,PG,CHI,2000
John Crotty,PG,DET,2000
Oliver Miller,C,PHO,2000
Chris Mills,SF,GSW,2000
Jerome Kersey,SF,SAS,2000
Roshown McLeod,SF,ATL,2000
Elliot Perry,PG,NJN,2000
Sean Rooks,C,DAL,2000
Brian Shaw,SG,LAL,2000
Tony Delk,PG,SAC,2000
Felipe López,SG,VAN,2000
Alvin Williams,PG,TOR,2000
Charles Barkley,PF,HOU,2000
Michael Smith,SF,WAS,2000
Jacque Vaughn,PG,UTA,2000
Dickey Simpkins,PF,CHI,2000
Mark Strickland,SF,MIA,2000
Quincy Lewis,SG,UTA,2000
Fred Hoiberg,SG,CHI,2000
Otis Thorpe,PF,MIA,2000
Greg Buckner,SG,DAL,2000
Jermaine O'Neal,C,POR,2000
Calbert Cheaney,SG,BOS,2000
Dee Brown,PG,TOR,2000
Robert Pack,PG,DAL,2000
Sam Jacobson,PG,2TM,2000
Sam Jacobson,PG,LAL,2000
Sam Jacobson,PG,GSW,2000
Bryant Stith,SG,DEN,2000
Chris Crawford,PF,ATL,2000
Jelani McCoy,C,SEA,2000
Chris Mullin,SG,IND,2000
Keith Closs,C,LAC,2000
Damon Jones,PG,2TM,2000
Damon Jones,PG,GSW,2000
Damon Jones,PG,DAL,2000
Walter McCarty,PF,BOS,2000
Mikki Moore,C,DET,2000
Ricky Davis,SG,CHH,2000
Eric Murdock,PG,LAC,2000
Shammond Williams,PG,SEA,2000
Tyrone Corbin,SF,SAC,2000
Emanual Davis,PG,SEA,2000
Moochie Norris,PG,HOU,2000
Todd MacCulloch,C,PHI,2000
Stacey Augmon,SG,POR,2000
Greg Foster,PF,SEA,2000
Grant Long,PF,VAN,2000
B.J. Armstrong,PG,CHI,2000
Bruce Bowen,SF,2TM,2000
Bruce Bowen,SF,PHI,2000
Bruce Bowen,SF,MIA,2000
Dion Glover,SG,ATL,2000
Dedric Willoughby,PG,CHI,2000
Charles Jones,PG,LAC,2000
Terry Cummings,PF,GSW,2000
Jeff McInnis,PG,LAC,2000
Brian Skinner,PF,LAC,2000
Kornél Dávid,SF,2TM,2000
Kornél Dávid,SF,CHI,2000
Kornél Dávid,SF,CLE,2000
Dale Ellis,SG,2TM,2000
Dale Ellis,SG,MIL,2000
Dale Ellis,SG,CHH,2000
Darvin Ham,SF,MIL,2000
Cherokee Parks,C,VAN,2000
Will Perdue,C,CHI,2000
Erick Dampier,C,GSW,2000
Toby Bailey,SG,PHO,2000
Michael Ruffin,PF,CHI,2000
Jim McIlvaine,C,NJN,2000
Robert Traylor,PF,MIL,2000
Devean George,SF,LAL,2000
William Avery,PG,MIN,2000
Anthony Johnson,PG,2TM,2000
Anthony Johnson,PG,ATL,2000
Anthony Johnson,PG,ORL,2000
Doug Overton,PG,BOS,2000
Doug West,SG,VAN,2000
Gary Trent,SF,DAL,2000
J.R. Reid,PF,MIL,2000
Rodney Buford,SG,MIA,2000
Don Reid,PF,2TM,2000
Don Reid,PF,DET,2000
Don Reid,PF,WAS,2000
Mark Davis,SF,GSW,2000
Chris Herren,PG,DEN,2000
Brent Price,PG,VAN,2000
Derrick McKey,SF,IND,2000
Earl Boykins,PG,2TM,2000
Earl Boykins,PG,ORL,2000
Earl Boykins,PG,CLE,2000
Adam Keefe,C,UTA,2000
Todd Fuller,C,CHH,2000
Ryan Bowen,SF,DEN,2000
Jud Buechler,SF,DET,2000
Anthony Miller,PF,HOU,2000
Obinna Ekezie,PF,VAN,2000
Cal Bowdler,SF,ATL,2000
Sherman Douglas,PG,NJN,2000
Scott Padgett,PF,UTA,2000
Pete Chilcutt,PF,3TM,2000
Pete Chilcutt,PF,UTA,2000
Pete Chilcutt,PF,CLE,2000
Pete Chilcutt,PF,LAC,2000
Tom Hammonds,PF,MIN,2000
Sean Elliott,SF,SAS,2000
Dean Garrett,C,MIN,2000
Sam Mack,SF,GSW,2000
John Thomas,C,TOR,2000
Chauncey Billups,SG,DEN,2000
Travis Knight,C,LAL,2000
Milt Palacio,PG,VAN,2000
Corie Blount,PF,PHO,2000
Gheorghe Mureșan,C,NJN,2000
Popeye Jones,PF,DEN,2000
Chuck Person,SF,SEA,2000
Rex Walters,PG,MIA,2000
Evan Eschmeyer,C,NJN,2000
Steve Kerr,PG,SAS,2000
Roy Rogers,PF,DEN,2000
Haywoode Workman,PG,2TM,2000
Haywoode Workman,PG,MIL,2000
Haywoode Workman,PG,TOR,2000
Cory Alexander,PG,DEN,2000
Thomas Hamilton,C,HOU,2000
Rick Hughes,PF,DAL,2000
Anthony Avent,PF,LAC,2000
Tim Legler,SG,GSW,2000
Bill Curley,SF,2TM,2000
Bill Curley,PF,HOU,2000
Bill Curley,SF,GSW,2000
Vladimir Stepania,C,SEA,2000
Loy Vaught,PF,DET,2000
Kevin Ollie,PG,PHI,2000
Rick Brunson,PG,NYK,2000
John Salley,C,LAL,2000
Antoine Carr,SF,VAN,2000
Duane Causwell,C,MIA,2000
Jonathan Bender,SF,IND,2000
Lazaro Borrell,SF,SEA,2000
Rafer Alston,PG,MIL,2000
Andrew Lang,C,NYK,2000
Michael Stewart,C,TOR,2000
Jumaine Jones,SF,PHI,2000
Anthony Parker,SG,ORL,2000
Chris Dudley,C,NYK,2000
Nazr Mohammed,C,PHI,2000
Derek Strong,PF,ORL,2000
Tim Young,C,GSW,2000
Pervis Ellison,C,BOS,2000
Ryan Stack,PF,CLE,2000
Felton Spencer,C,SAS,2000
Devin Gray,SF,HOU,2000
Trajan Langdon,SG,CLE,2000
Laron Profit,SG,WAS,2000
Tyronn Lue,PG,LAL,2000
Tony Massenburg,PF,HOU,2000
Jeff Foster,C,IND,2000
Calvin Booth,C,WAS,2000
Don MacLean,PF,PHO,2000
Antonio Harvey,PF,POR,2000
Reggie Jordan,PG,WAS,2000
Joe Stephens,SF,VAN,2000
Drew Barry,PG,2TM,2000
Drew Barry,PG,GSW,2000
Drew Barry,PG,ATL,2000
Derrick Dial,SG,SAS,2000
Kevin Johnson,PG,PHO,2000
Eric Montross,C,DET,2000
John Celestand,PG,LAL,2000
Rusty LaRue,PG,CHI,2000
Žan Tabak,C,IND,2000
Dennis Rodman,PF,DAL,2000
Lari Ketner,PF,2TM,2000
Lari Ketner,PF,CHI,2000
Lari Ketner,PF,CLE,2000
Mirsad Türkcan,PF,2TM,2000
Mirsad Türkcan,PF,NYK,2000
Mirsad Türkcan,PF,MIL,2000
Etdrick Bohannon,PF,2TM,2000
Etdrick Bohannon,PF,NYK,2000
Etdrick Bohannon,PF,LAC,2000
Michael Cage,C,NJN,2000
Bruno Šundov,C,DAL,2000
Harold Jamison,PF,MIA,2000
Jamel Thomas,SF,2TM,2000
Jamel Thomas,SF,BOS,2000
Jamel Thomas,SF,GSW,2000
Matt Harpring,SF,ORL,2000
Mark West,C,PHO,2000
Bill Wennington,C,SAC,2000
Lorenzo Williams,PF,WAS,2000
Fred Vinson,SG,SEA,2000
Mark Hendrickson,PF,2TM,2000
Mark Hendrickson,PF,CLE,2000
Mark Hendrickson,PF,NJN,2000
Gary Grant,PG,POR,2000
Tim James,SF,MIA,2000
Joe Kleine,C,POR,2000
Donny Marshall,SF,CLE,2000
Khalid Reeves,PG,CHI,2000
Johnny Taylor,SF,2TM,2000
Johnny Taylor,SF,DEN,2000
Johnny Taylor,SF,ORL,2000
Marcus Brown,SG,DET,2000
Stanley Roberts,C,PHI,2000
A.J. Bramlett,C,CLE,2000
Michael Hawkins,PG,CHH,2000
Sean Marks,PF,TOR,2000
Jermaine Jackson,SG,DET,2000
Aleksandar Radojević,C,TOR,2000
Eldridge Recasner,PG,CHH,2000
DeMarco Johnson,PF,NYK,2000
Andrae Patterson,PF,MIN,2000
Antonio Lang,SF,2TM,2000
Antonio Lang,SF,TOR,2000
Antonio Lang,SF,PHI,2000
Ira Bowman,SG,PHI,2000
Ryan Robertson,SG,SAC,2000
Ben Davis,PF,PHO,2000
Kiwane Lemorris Garris,SG,ORL,2000
Wayne Turner,PG,BOS,2000
Benoit Benjamin,C,CLE,2000
Marty Conlon,C,LAC,2000
David Wingate,SG,NYK,2000
Mario Bennett,PF,LAC,2000
Derek Hood,PF,CHH,2000
Randell Jackson,PF,DAL,2000
Jason Miskiri,PG,CHH,2000
Rodrick Rhodes,SF,DAL,2000
League Average,,,2000
