Player,Pos,Team,Season
Tyrone Corbin,SF,ATL,1999
Danny Ferry,PF,CLE,1999
Charles Oakley,PF,TOR,1999
Rodney Rogers,SF,LAC,1999
Travis Best,PG,IND,1999
Randy Brown,PG,CHI,1999
Luc Longley,C,PHO,1999
Dan Majerle,SG,MIA,1999
Tony Battie,C,BOS,1999
Marcus Camby,C,NYK,1999
Chris Childs,PG,NYK,1999
Tyrone Hill,PF,2TM,1999
Tyrone Hill,PF,MIL,1999
Tyrone Hill,PF,PHI,1999
Bryant Stith,SG,DEN,1999
Greg Anthony,PG,POR,1999
Lorenzen Wright,C,LAC,1999
Steve Nash,PG,DAL,1999
Derek Harper,PG,LAL,1999
Jason Caffey,PF,GSW,1999
Kornél Dávid,SF,CHI,1999
Michael Doleac,C,ORL,1999
Johnny Newman,SF,CLE,1999
Chuck Person,SF,CHH,1999
Jaren Jackson,SG,SAS,1999
Derek Fisher,PG,LAL,1999
Darrick Martin,PG,LAC,1999
Brent Price,PG,HOU,1999
Chris Crawford,PF,ATL,1999
Malik Rose,PF,SAS,1999
Vinny Del Negro,PG,MIL,1999
Armen Gilliam,PF,MIL,1999
Ben Wallace,C,WAS,1999
Eric Williams,SF,DEN,1999
Jud Buechler,SF,DET,1999
Greg Ostertag,C,UTA,1999
Chris Gatling,C,2TM,1999
Chris Gatling,C,NJN,1999
Chris Gatling,C,MIL,1999
Bryant Reeves,C,VAN,1999
Dean Garrett,C,MIN,1999
Anthony Peeler,SG,MIN,1999
Cherokee Parks,C,VAN,1999
Cory Alexander,PG,DEN,1999
Robert Traylor,C,MIL,1999
Ervin Johnson,C,MIL,1999
Malik Sealy,SF,MIN,1999
Erick Strickland,SG,DAL,1999
Alvin Williams,PG,TOR,1999
Sherman Douglas,PG,LAC,1999
Tony Delk,PG,GSW,1999
A.C. Green,PF,DAL,1999
Michael Curry,SF,MIL,1999
Anthony Johnson,PG,ATL,1999
Don Reid,PF,DET,1999
Jayson Williams,C,NJN,1999
Aaron McKie,SG,PHI,1999
Brad Miller,C,CHH,1999
Sam Perkins,PF,IND,1999
Dennis Scott,SF,2TM,1999
Dennis Scott,SF,NYK,1999
Dennis Scott,SF,MIN,1999
Tracy Murray,SF,WAS,1999
Michael Smith,PF,VAN,1999
Samaki Walker,PF,DAL,1999
Derek Strong,PF,ORL,1999
Robert Pack,PG,DAL,1999
Eldridge Recasner,PG,CHH,1999
Antonio Daniels,PG,SAS,1999
Pat Garrity,PF,PHO,1999
Greg Minor,SG,BOS,1999
Bob Sura,PG,CLE,1999
Jon Barry,SG,SAC,1999
Scott Burrell,SF,NJN,1999
Tom Hammonds,PF,MIN,1999
Ricky Davis,SG,CHH,1999
Stacey Augmon,SF,POR,1999
DeJuan Wheat,PG,VAN,1999
Johnny Taylor,SF,DEN,1999
Chris Carr,SG,2TM,1999
Chris Carr,SG,MIN,1999
Chris Carr,SG,NJN,1999
Eric Washington,SG,DEN,1999
LaPhonso Ellis,PF,ATL,1999
Rusty LaRue,PG,CHI,1999
Bo Outlaw,PF,ORL,1999
Haywoode Workman,PG,MIL,1999
Lucious Harris,SG,NJN,1999
Steve Kerr,PG,SAS,1999
Robert Horry,PF,LAL,1999
Chris Whitney,PG,WAS,1999
Don MacLean,PF,SEA,1999
Chris Morris,SF,PHO,1999
Muggsy Bogues,PG,GSW,1999
James Robinson,PG,2TM,1999
James Robinson,PG,LAC,1999
James Robinson,PG,MIN,1999
Thurl Bailey,PF,UTA,1999
Walter McCarty,PF,BOS,1999
Jamie Feick,C,2TM,1999
Jamie Feick,C,MIL,1999
Jamie Feick,PF,NJN,1999
Adam Keefe,PF,UTA,1999
Cory Carr,SG,CHI,1999
Troy Hudson,PG,LAC,1999
John Thomas,C,TOR,1999
Mitchell Butler,SG,CLE,1999
Pete Chilcutt,PF,VAN,1999
Raef LaFrentz,C,DEN,1999
Cedric Ceballos,SF,DAL,1999
Billy Owens,SF,SEA,1999
Roshown McLeod,SF,ATL,1999
John Crotty,PG,2TM,1999
John Crotty,PG,POR,1999
John Crotty,PG,SEA,1999
Aaron Williams,PF,SEA,1999
Travis Knight,C,LAL,1999
Kelvin Cato,C,POR,1999
Harvey Grant,PF,PHI,1999
Ed Gray,SG,ATL,1999
Jerome Kersey,SF,SAS,1999
Bill Wennington,C,CHI,1999
Todd Fuller,C,UTA,1999
Chris Anstey,C,DAL,1999
Dominique Wilkins,SF,ORL,1999
Jelani McCoy,C,SEA,1999
Jeff McInnis,PG,WAS,1999
Adonal Foyle,C,GSW,1999
Vladimir Stepania,C,SEA,1999
Loy Vaught,PF,DET,1999
Sam Cassell,PG,2TM,1999
Sam Cassell,PG,NJN,1999
Sam Cassell,PG,MIL,1999
Terry Davis,C,WAS,1999
Damon Jones,PG,2TM,1999
Damon Jones,PG,NJN,1999
Damon Jones,PG,BOS,1999
Christian Laettner,PF,DET,1999
Keith Booth,SF,CHI,1999
Mark Hendrickson,PF,NJN,1999
Tim Legler,SG,WAS,1999
Eric Murdock,PG,NJN,1999
Mark Strickland,PF,MIA,1999
Corey Benjamin,PG,CHI,1999
Bryce Drew,PG,HOU,1999
Greg Foster,PF,UTA,1999
Matt Bullard,PF,HOU,1999
Chris Dudley,C,NYK,1999
Reggie Slater,PF,TOR,1999
Randell Jackson,PF,WAS,1999
Andrae Patterson,PF,MIN,1999
Charles Jones,SG,CHI,1999
Charles Shackleford,C,CHH,1999
B.J. Armstrong,PG,2TM,1999
B.J. Armstrong,PG,CHH,1999
B.J. Armstrong,PG,ORL,1999
Rex Walters,SG,MIA,1999
Corie Blount,PF,2TM,1999
Corie Blount,PF,LAL,1999
Corie Blount,PF,CLE,1999
Sean Rooks,C,LAL,1999
Elliot Perry,PG,2TM,1999
Elliot Perry,PG,MIL,1999
Elliot Perry,PG,NJN,1999
J.R. Henderson,SF,VAN,1999
Eric Montross,C,DET,1999
Keon Clark,C,DEN,1999
Austin Croshere,PF,IND,1999
Doug Overton,PG,3TM,1999
Doug Overton,PG,ORL,1999
Doug Overton,PG,NJN,1999
Doug Overton,PG,PHI,1999
Jermaine O'Neal,PF,POR,1999
Will Perdue,C,SAS,1999
Brian Skinner,PF,LAC,1999
Charles Smith,SG,LAC,1999
Terry Dehere,SG,2TM,1999
Terry Dehere,PG,SAC,1999
Terry Dehere,SG,VAN,1999
Voshon Lenard,SG,MIA,1999
Scot Pollard,C,SAC,1999
Doug West,SG,VAN,1999
Gerald Brown,SG,PHO,1999
Andrew Lang,C,CHI,1999
Toby Bailey,SG,PHO,1999
Bill Curley,PF,MIN,1999
Eric Riley,C,BOS,1999
Blue Edwards,SF,MIA,1999
Zydrunas Ilgauskas,C,CLE,1999
Tyronn Lue,PG,LAL,1999
Bruce Bowen,SF,BOS,1999
Anthony Miller,PF,HOU,1999
Joe Kleine,C,PHO,1999
Ruben Patterson,SF,LAL,1999
Carl Herrera,PF,2TM,1999
Carl Herrera,PF,VAN,1999
Carl Herrera,PF,DEN,1999
Earl Boykins,PG,2TM,1999
Earl Boykins,PG,NJN,1999
Earl Boykins,PG,CLE,1999
Michael Stewart,C,TOR,1999
Derrick McKey,SF,IND,1999
Mark West,C,ATL,1999
Charles O'Bannon,SG,DET,1999
Popeye Jones,PF,BOS,1999
Keith Askins,SF,MIA,1999
Marlon Garnett,PG,BOS,1999
Reggie Jordan,SG,MIN,1999
Dennis Rodman,PF,LAL,1999
Jahidi White,PF,WAS,1999
Jim McIlvaine,C,NJN,1999
Antoine Carr,PF,HOU,1999
Rashard Lewis,SF,SEA,1999
Ryan Stack,PF,CLE,1999
Al Harrington,PF,IND,1999
Corey Beck,PG,2TM,1999
Corey Beck,PG,DET,1999
Corey Beck,PG,CHH,1999
Duane Causwell,C,MIA,1999
Jacque Vaughn,PG,UTA,1999
Rodrick Rhodes,SF,2TM,1999
Rodrick Rhodes,SF,HOU,1999
Rodrick Rhodes,SG,VAN,1999
Nazr Mohammed,C,PHI,1999
Felton Spencer,C,GSW,1999
Jeff Sheppard,SG,ATL,1999
Moochie Norris,PG,SEA,1999
Drew Barry,SG,SEA,1999
Shawn Respert,SG,PHO,1999
Michael Hawkins,PG,SAC,1999
David Vaughn,PF,NJN,1999
Brian Evans,SF,2TM,1999
Brian Evans,SF,NJN,1999
Brian Evans,SF,MIN,1999
Keith Closs,C,LAC,1999
John Coker,C,WAS,1999
Bonzi Wells,SF,POR,1999
Jerald Honeycutt,PF,2TM,1999
Jerald Honeycutt,PF,MIL,1999
Jerald Honeycutt,PF,PHI,1999
Hot Rod Williams,C,DAL,1999
Pooh Richardson,PG,LAC,1999
Danny Schayes,C,ORL,1999
James Cotton,SG,SEA,1999
Khalid Reeves,PG,DET,1999
Jerome James,C,SAC,1999
Gerard King,SF,SAS,1999
Andrew Gaze,SG,SAS,1999
Matt Maloney,PG,HOU,1999
Lee Mayberry,PG,VAN,1999
Fred Hoiberg,SG,IND,1999
Rick Brunson,PG,NYK,1999
Ben Davis,PF,NYK,1999
Loren Meyer,C,DEN,1999
Marko Milič,SG,PHO,1999
Rony Seikaly,C,NJN,1999
Travis Williams,SF,CHH,1999
Stanley Roberts,C,HOU,1999
Scott Williams,C,2TM,1999
Scott Williams,C,PHI,1999
Scott Williams,C,MIL,1999
David Wingate,SG,NYK,1999
Antonio Lang,PF,CLE,1999
Rick Mahorn,PF,PHI,1999
Korleone Young,SF,DET,1999
Kevin Ollie,PG,2TM,1999
Kevin Ollie,PG,SAC,1999
Kevin Ollie,PG,ORL,1999
Eddie Johnson,SF,HOU,1999
Randy Livingston,PG,PHO,1999
Sean Marks,PF,TOR,1999
Jason Sasser,SF,VAN,1999
Dwayne Schintzius,C,BOS,1999
Alvin Sims,SG,PHO,1999
Oliver Miller,C,SAC,1999
Herb Williams,C,NYK,1999
Anthony Avent,PF,UTA,1999
Mark Davis,SF,MIA,1999
Mark Macon,SG,DET,1999
Terry Mills,PF,MIA,1999
Marty Conlon,C,MIA,1999
Sam Jacobson,PG,LAL,1999
Negele Knight,PG,TOR,1999
Rasho Nesterović,C,MIN,1999
Mario Bennett,PF,CHI,1999
William Cunningham,C,2TM,1999
William Cunningham,C,TOR,1999
William Cunningham,C,NJN,1999
Adonis Jordan,PG,MIL,1999
Duane Ferrell,SF,GSW,1999
Makhtar N'Diaye,PF,VAN,1999
Carlos Rogers,PF,POR,1999
Benoit Benjamin,C,PHI,1999
Willie Burton,SF,CHH,1999
Steve Henson,PG,DET,1999
Chris King,SF,UTA,1999
Kelly McCarty,SG,DEN,1999
Mikki Moore,C,DET,1999
Bruno Šundov,C,DAL,1999
Tyson Wheeler,PG,DEN,1999
Paul Grant,C,2TM,1999
Paul Grant,C,MIN,1999
Paul Grant,C,MIL,1999
Jimmy Oliver,SG,PHO,1999
Shammond Williams,PG,ATL,1999
Peter Aluma,C,SAC,1999
Anthony Parker,SG,PHI,1999
Mark Pope,SF,IND,1999
Casey Shaw,C,PHI,1999
Miles Simon,SG,ORL,1999
Stojko Vranković,C,LAC,1999
Jamie Watson,SF,MIA,1999
Gerald Wilkins,SG,ORL,1999
Brandon Williams,SG,SAS,1999
Micheal Williams,PG,TOR,1999
Monty Williams,SF,DEN,1999
Mark Baker,PG,TOR,1999
Etdrick Bohannon,SF,WAS,1999
Gary Grant,PG,POR,1999
Litterial Green,PG,CLE,1999
Jonathan Kerner,C,ORL,1999
Gheorghe Mureșan,C,NJN,1999
Brian Shaw,PG,POR,1999
Trevor Winter,C,MIN,1999
Joe Wolf,PF,CHH,1999
League Average,,,1999
