Player,Pos,Team,Season
Shaquille O'Neal,C,LAL,1999
Allen Iverson,SG,PHI,1999
Karl Malone,PF,UTA,1999
Shareef Abdur-Rahim,SF,VAN,1999
Tim Duncan,PF,SAS,1999
Gary Payton,PG,SEA,1999
Antonio McDyess,C,DEN,1999
Grant Hill,SF,DET,1999
Stephon Marbury,PG,2TM,1999
Stephon Marbury,PG,MIN,1999
Stephon Marbury,PG,NJN,1999
Michael Finley,SF,DAL,1999
Kobe Bryant,SG,LAL,1999
Mitch Richmond,SG,WAS,1999
Kevin Garnett,PF,MIN,1999
Hakeem Olajuwon,C,HOU,1999
Alonzo Mourning,C,MIA,1999
Reggie Miller,SG,IND,1999
Keith Van Horn,PF,NJN,1999
Vince Carter,SF,TOR,1999
Glenn Robinson,SF,MIL,1999
Shawn Kemp,PF,CLE,1999
Ray Allen,SG,MIL,1999
Jason Kidd,PG,PHO,1999
Chris Webber,PF,SAC,1999
Tim Hardaway,PG,MIA,1999
Toni Kukoč,SF,CHI,1999
Nick Van Exel,PG,DEN,1999
Clifford Robinson,SF,PHO,1999
Allan Houston,SG,NYK,1999
Anfernee Hardaway,SG,ORL,1999
Paul Pierce,SF,BOS,1999
Antoine Walker,PF,BOS,1999
Eddie Jones,SF,2TM,1999
Eddie Jones,SG,LAL,1999
Eddie Jones,SF,CHH,1999
David Robinson,C,SAS,1999
Maurice Taylor,PF,LAC,1999
Doug Christie,SG,TOR,1999
Detlef Schrempf,SF,SEA,1999
Tom Gugliotta,PF,PHO,1999
Rik Smits,C,IND,1999
Scottie Pippen,SF,HOU,1999
Gary Trent,PF,DAL,1999
Vlade Divac,C,SAC,1999
David Wesley,PG,CHH,1999
Nick Anderson,SF,ORL,1999
Ron Mercer,SG,BOS,1999
Darrell Armstrong,PG,ORL,1999
John Starks,SG,GSW,1999
Rod Strickland,PG,WAS,1999
Juwan Howard,SF,WAS,1999
Charles Barkley,PF,HOU,1999
Matt Geiger,C,PHI,1999
Steve Smith,SG,ATL,1999
Mike Bibby,PG,VAN,1999
Corliss Williamson,SF,SAC,1999
Patrick Ewing,C,NYK,1999
Isaiah Rider,SG,POR,1999
Jason Williams,PG,SAC,1999
Mookie Blaylock,PG,ATL,1999
Damon Stoudamire,PG,POR,1999
Rasheed Wallace,SF,POR,1999
Chauncey Billups,SG,DEN,1999
Bryon Russell,SF,UTA,1999
Elden Campbell,C,2TM,1999
Elden Campbell,C,LAL,1999
Elden Campbell,C,CHH,1999
Bobby Phills,SG,CHH,1999
Lamond Murray,SF,LAC,1999
Jerry Stackhouse,SG,DET,1999
Arvydas Sabonis,C,POR,1999
Latrell Sprewell,SF,NYK,1999
Kerry Kittles,SG,NJN,1999
Kendall Gill,SF,NJN,1999
Joe Smith,C,MIN,1999
Jeff Hornacek,SG,UTA,1999
Larry Johnson,PF,NYK,1999
Lindsey Hunter,PG,DET,1999
P.J. Brown,PF,MIA,1999
Sean Elliott,SF,SAS,1999
Sam Mitchell,SF,MIN,1999
Theo Ratliff,PF,PHI,1999
Otis Thorpe,PF,WAS,1999
John Stockton,PG,UTA,1999
Danny Fortson,PF,DEN,1999
Brian Grant,PF,POR,1999
Dee Brown,PG,TOR,1999
Michael Dickerson,SG,HOU,1999
Jalen Rose,SF,IND,1999
Dikembe Mutombo,C,ATL,1999
Donyell Marshall,SF,GSW,1999
Terry Porter,PG,MIA,1999
Hersey Hawkins,SG,SEA,1999
Bison Dele,C,DET,1999
Eric Piatkowski,SG,LAC,1999
Chris Mullin,SF,IND,1999
Kevin Willis,C,TOR,1999
Tyrone Nesby,SF,LAC,1999
Wesley Person,SG,CLE,1999
Terrell Brandon,PG,2TM,1999
Terrell Brandon,PG,MIL,1999
Terrell Brandon,PG,MIN,1999
Vitaly Potapenko,C,2TM,1999
Vitaly Potapenko,C,CLE,1999
Vitaly Potapenko,C,BOS,1999
Dale Ellis,SF,SEA,1999
Vernon Maxwell,SG,SAC,1999
Grant Long,PF,ATL,1999
Avery Johnson,PG,SAS,1999
Cuttino Mobley,PG,HOU,1999
Derrick Coleman,PF,CHH,1999
Chris Mills,SF,GSW,1999
Tony Massenburg,PF,VAN,1999
Isaac Austin,C,ORL,1999
Alan Henderson,SF,ATL,1999
Glen Rice,SF,LAL,1999
Sam Mack,SF,2TM,1999
Sam Mack,SF,VAN,1999
Sam Mack,SF,HOU,1999
Vin Baker,PF,SEA,1999
Dana Barros,PG,BOS,1999
Antonio Davis,PF,IND,1999
Rex Chapman,SG,PHO,1999
Tracy McGrady,SF,TOR,1999
Hubert Davis,SG,DAL,1999
Dickey Simpkins,C,CHI,1999
Bimbo Coles,PG,GSW,1999
Mario Elie,SG,SAS,1999
Larry Hughes,SG,PHI,1999
Tariq Abdul-Wahad,SG,SAC,1999
Terry Cummings,PF,GSW,1999
Cedric Henderson,SF,CLE,1999
Danny Manning,PF,PHO,1999
Antawn Jamison,SF,GSW,1999
Walt Williams,SF,POR,1999
Horace Grant,PF,ORL,1999
Erick Dampier,C,GSW,1999
Felipe López,SG,VAN,1999
Joe Dumars,SG,DET,1999
George McCloud,SF,PHO,1999
Shandon Anderson,SG,UTA,1999
Dell Curry,SG,MIL,1999
Shawn Bradley,C,DAL,1999
Lawrence Funderburke,PF,SAC,1999
Jim Jackson,SG,POR,1999
Eric Snow,PG,PHI,1999
Kenny Anderson,PG,BOS,1999
Brent Barry,SG,CHI,1999
John Wallace,SF,TOR,1999
Derek Anderson,SG,CLE,1999
Matt Harpring,SF,ORL,1999
Chucky Brown,PF,CHH,1999
Mark Bryant,PF,CHI,1999
Kurt Thomas,PF,NYK,1999
Peja Stojaković,SF,SAC,1999
Michael Olowokandi,C,LAC,1999
Othella Harrington,PF,HOU,1999
Dale Davis,PF,IND,1999
Clarence Weatherspoon,SF,MIA,1999
Rick Fox,SF,LAL,1999
Ron Harper,SG,CHI,1999
Calbert Cheaney,SG,WAS,1999
Dirk Nowitzki,PF,DAL,1999
Charlie Ward,PG,NYK,1999
Mark Jackson,PG,IND,1999
Brevin Knight,PG,CLE,1999
Andrew DeClercq,C,2TM,1999
Andrew DeClercq,C,BOS,1999
Andrew DeClercq,C,CLE,1999
J.R. Reid,PF,2TM,1999
J.R. Reid,PF,CHH,1999
J.R. Reid,PF,LAL,1999
Howard Eisley,PG,UTA,1999
Olden Polynice,C,SEA,1999
Tim Thomas,SF,2TM,1999
Tim Thomas,SF,PHI,1999
Tim Thomas,SF,MIL,1999
George Lynch,SF,PHI,1999
Jamal Mashburn,SF,MIA,1999
Jerome Williams,PF,DET,1999
Bobby Jackson,PG,MIN,1999
